# Семь звёзд — гравитационная модель (круговые орбиты)
# Star <R> <color> <m> <x> <y> <Vx> <Vy>
# Planet <R> <color> <m> <x> <y> <Vx> <Vy> <star_index>
# Satellite <R> <color> <m> <x> <y> <Vx> <Vy> <planet_index>
# v=sqrt(GM/r). Нечётная орбита->CW, чётная->CCW, спутник->CW. Индексы глобальные.

Star 10 gold 1.9890e+30 -1.8000e+11 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 -1.7000e+11 0.0000e+00 0.0000e+00 -1.1522e+05 0
Planet 4 salmon 1.0000e+29 -1.8000e+11 1.0000e+10 1.1522e+05 -7.0550e-12 0
Planet 4 khaki 1.0000e+29 -1.9000e+11 1.2246e-06 1.4110e-11 1.1522e+05 0
Planet 4 aqua 1.0000e+29 -1.8000e+11 -1.0000e+10 -1.1522e+05 2.1165e-11 0
Planet 4 salmon 1.0000e+29 -1.6500e+11 0.0000e+00 -0.0000e+00 9.4074e+04 0
Planet 4 khaki 1.0000e+29 -1.8000e+11 1.5000e+10 -9.4074e+04 5.7603e-12 0
Planet 4 aqua 1.0000e+29 -1.9500e+11 1.8370e-06 -1.1521e-11 -9.4074e+04 0
Planet 4 thistle 1.0000e+29 -1.8000e+11 -1.5000e+10 9.4074e+04 -1.7281e-11 0
Planet 4 khaki 1.0000e+29 -1.6000e+11 0.0000e+00 0.0000e+00 -8.1470e+04 0
Planet 4 aqua 1.0000e+29 -1.8000e+11 2.0000e+10 8.1470e+04 -4.9886e-12 0
Planet 4 thistle 1.0000e+29 -2.0000e+11 2.4493e-06 9.9772e-12 8.1470e+04 0
Planet 4 coral 1.0000e+29 -1.8000e+11 -2.0000e+10 -8.1470e+04 1.4966e-11 0
Planet 4 aqua 1.0000e+29 -1.5500e+11 0.0000e+00 -0.0000e+00 7.2869e+04 0
Planet 4 thistle 1.0000e+29 -1.8000e+11 2.5000e+10 -7.2869e+04 4.4619e-12 0
Planet 4 coral 1.0000e+29 -2.0500e+11 3.0616e-06 -8.9239e-12 -7.2869e+04 0
Planet 4 wheat 1.0000e+29 -1.8000e+11 -2.5000e+10 7.2869e+04 -1.3386e-11 0
Planet 4 thistle 1.0000e+29 -1.5000e+11 0.0000e+00 0.0000e+00 -6.6520e+04 0
Planet 4 coral 1.0000e+29 -1.8000e+11 3.0000e+10 6.6520e+04 -4.0732e-12 0
Planet 4 wheat 1.0000e+29 -2.1000e+11 3.6739e-06 8.1464e-12 6.6520e+04 0
Planet 4 blue 1.0000e+29 -1.8000e+11 -3.0000e+10 -6.6520e+04 1.2220e-11 0
Planet 4 coral 1.0000e+29 -1.4500e+11 0.0000e+00 -0.0000e+00 6.1586e+04 0
Planet 4 wheat 1.0000e+29 -1.8000e+11 3.5000e+10 -6.1586e+04 3.7710e-12 0
Planet 4 blue 1.0000e+29 -2.1500e+11 4.2863e-06 -7.5421e-12 -6.1586e+04 0
Planet 4 green 1.0000e+29 -1.8000e+11 -3.5000e+10 6.1586e+04 -1.1313e-11 0
Planet 4 wheat 1.0000e+29 -1.4000e+11 0.0000e+00 0.0000e+00 -5.7608e+04 0
Planet 4 blue 1.0000e+29 -1.8000e+11 4.0000e+10 5.7608e+04 -3.5275e-12 0
Planet 4 green 1.0000e+29 -2.2000e+11 4.8986e-06 7.0550e-12 5.7608e+04 0
Planet 4 salmon 1.0000e+29 -1.8000e+11 -4.0000e+10 -5.7608e+04 1.0582e-11 0
Planet 4 blue 1.0000e+29 -1.3500e+11 0.0000e+00 -0.0000e+00 5.4313e+04 0
Planet 4 green 1.0000e+29 -2.2500e+11 5.5109e-06 -6.6515e-12 -5.4313e+04 0
Satellite 2 gray70 7.3470e+22 -1.7900e+11 2.0000e+10 8.1470e+04 -8.1695e+04 10
Satellite 2 gray70 7.3470e+22 -1.8100e+11 2.0000e+10 8.1470e+04 8.1695e+04 10
Satellite 2 gray70 7.3470e+22 -1.7900e+11 -3.0000e+10 -6.6520e+04 -8.1695e+04 20
Satellite 2 gray70 7.3470e+22 -1.8100e+11 -3.0000e+10 -6.6520e+04 8.1695e+04 20
Satellite 2 gray70 7.3470e+22 -2.2400e+11 5.5109e-06 -6.6515e-12 -1.3601e+05 30
Satellite 2 gray70 7.3470e+22 -2.2600e+11 5.6334e-06 3.3533e-12 2.7382e+04 30
Star 10 orange 1.9890e+30 -1.2000e+11 0.0000e+00 0.0000e+00 0.0000e+00
Planet 4 green 1.0000e+29 -1.1000e+11 0.0000e+00 0.0000e+00 -1.1522e+05 37
Planet 4 salmon 1.0000e+29 -1.2500e+11 8.6603e+09 9.9780e+04 5.7608e+04 37
Planet 4 khaki 1.0000e+29 -1.2500e+11 -8.6603e+09 -9.9780e+04 5.7608e+04 37
Planet 4 salmon 1.0000e+29 -1.0500e+11 0.0000e+00 -0.0000e+00 9.4074e+04 37
